'name,code,asset_amount,currency_amount,domain
ITSILVERMINE,ITSILVERMINE,3390804.60 ITSILVERMINE,$0.327,No Domain
NXT,NXT,1074099123.02 NXT,$0.321,No Domain
De Beers Group,DEBEERS,1999999999 DEBEERS,$0.317,labdia.stellar-commodities.com
Dunkin’ Donuts,DNKN,1999999998 DNKN,$0.313,coffee.stellar-commodities.com
Nestle AG,NESN,1644444444 NESN,$0.311,coffee.stellar-commodities.com
BABA,BABA,1104145368 BABA,$0.311,No Domain
BARC,BARC,369672139 BARC,$0.304,No Domain
Intel Corporation,INTC,1999999999 INTC,$0.297,silicon.stellar-commodities.com
ROSN,ROSN,1029411764 ROSN,$0.297,No Domain
NNN,NNN,441819.48 NNN,$0.291,No Domain
The Samsung Group,SMNG,1999999999 SMNG,$0.288,silicon.stellar-commodities.com
Orla Mining Ltd.,ORLA,3999999996 ORLA,$0.282,silver.stellar-commodities.com
East Hope Group,EHG,111210082.10 EHG,$0.282,aluminum.stellar-commodities.com
Anglo American PLC,AAL,1999999999 AAL,$0.279,iron.stellar-commodities.com
Cannabis Growth Fund,VCAN,544250757 VCAN,$0.277,swisscustody.org
TATAPWR,TATAPWR,575000054.86 TATAPWR,$0.275,No Domain
SQM,SQM,2146999999 SQM,$0.272,lithium.stellar-commodities.com
Nexa Resources SA,NEXA,2144444444 NEXA,$0.272,gold.stellar-commodities.com
Exxon Mobil Corp,XOM,3999999998 XOM,$0.267,gas.stellar-commodities.com
SHELL,SHELL,210657495.92 SHELL,$0.267,No Domain
Trex Company,TREX,4179999998 TREX,$0.265,forestry.stellar-commodities.com
PLS,PLS,2146999999 PLS,$0.258,lithium.stellar-commodities.com
SVE,SVE,3999999943 SVE,$0.257,silver.stellar-commodities.com
SILVERBUY,SILVERBUY,11186856.57 SILVERBUY,$0.255,No Domain
Tata Steel Ltd.,TATA,3999999998 TATA,$0.254,steel.stellar-commodities.com
NPM,NPM,3999936935 NPM,$0.254,silver.stellar-commodities.com
Michelin,ML,994999993 ML,$0.251,rubber.stellar-commodities.com
NVTK,NVTK,825598517.67 NVTK,$0.249,No Domain
Alamos Gold,AGI,2146999999 AGI,$0.248,gold.stellar-commodities.com
DESILVERSALE,DESILVERSALE,13031914.89 DESILVERSALE,$0.240,No Domain
Enbridge Inc.,ENB,2146999999 ENB,$0.237,gas.stellar-commodities.com
Cameco Corp.,CCJ,2146999999 CCJ,$0.227,uranium.stellar-commodities.com
Argonaut Gold Inc.,AR,2146999999 AR,$0.227,gold.stellar-commodities.com
ARAMCO,ARAMCO,291555911.23 ARAMCO,$0.227,No Domain
TATAS,TATAS,354113341.33 TATAS,$0.225,No Domain
AQUA,AQUA,208.72 AQUA,$0.225,aqua.network
LKOH,LKOH,765956302.03 LKOH,$0.221,No Domain
TSMC,TSMC,117557632.41 TSMC,$0.217,No Domain
STWI,STWI,2146999999 STWI,$0.204,gas.stellar-commodities.com
Barrick Gold Corp.,BRK,2146999999 BRK,$0.195,gold.stellar-commodities.com
MMC,MMC,999999994 MMC,$0.195,aluminum.stellar-commodities.com
JPGOLDSALES,JPGOLDSALES,3333333.33 JPGOLDSALES,$0.195,No Domain
Dutch Bros. Coffee,DUBR,1022725904 DUBR,$0.192,coffee.stellar-commodities.com
Continental AG,CNTL,993996999 CNTL,$0.189,rubber.stellar-commodities.com
PPLT,PPLT,499999999 PPLT,$0.186,platinum.stellar-commodities.com
NLGOLDSALES,NLGOLDSALES,4081632.65 NLGOLDSALES,$0.186,No Domain
QSINDUS,QSINDUS,1454148.75 QSINDUS,$0.184,No Domain
New Found Gold Corp.,NFG,2146999999 NFG,$0.182,gold.stellar-commodities.com
INDUSSILVER,INDUSSILVER,909090.91 INDUSSILVER,$0.182,No Domain
FARMBOND 4.1%,FB04,50040409 FB04,$0.181,agrogenesis.in
AUSILVER,AUSILVER,2193463.48 AUSILVER,$0.178,No Domain
Hitachi Metals Ltd.,HITACHI,1999999999 HITACHI,$0.175,aluminum.stellar-commodities.com
Gold ETF,GETF,344188305 GETF,$0.175,StellarETFs.com
IPAYIN,IPAYIN,1000000 IPAYIN,$0.175,No Domain
PORSCHE,PORSCHE,54202024.10 PORSCHE,$0.174,No Domain
GOLD,GOLD,17644.02 GOLD,$0.174,No Domain
GOLDBUY,GOLDBUY,7272173.52 GOLDBUY,$0.171,No Domain
OGC,OGC,270045.57 OGC,$0.171,No Domain
Newmont,NEM,512500000 NEM,$0.170,gold.stellar-commodities.com
IPAYUSA,IPAYUSA,1136363.75 IPAYUSA,$0.170,No Domain
Oji Paper Co.,OJI,1999999998 OJI,$0.169,forestry.stellar-commodities.com
GEMINI,GEMINI,166277450.92 GEMINI,$0.169,No Domain
FAB,FAB,111202026.45 FAB,$0.169,No Domain
MTEK,MTEK,354545454.11 MTEK,$0.167,No Domain
GOLDX,GOLDX,23193.15 GOLDX,$0.166,No Domain
BMW,BMW,87517481.83 BMW,$0.163,No Domain
SilverCrest Metals,SIL,2146999999 SIL,$0.160,gold.stellar-commodities.com
NLSILVERSALE,NLSILVERSALE,3508771.93 NLSILVERSALE,$0.160,No Domain
IPAYIT,IPAYIT,3454231.43 IPAYIT,$0.160,No Domain
China Hongqiao,HNQ,515755959 HNQ,$0.158,aluminum.stellar-commodities.com
Klabin Co. Ltd.,KLBN,1999999987 KLBN,$0.154,forestry.stellar-commodities.com
ASUS,ASUS,600000051 ASUS,$0.154,No Domain
FRENCHSILVER,FRENCHSILVER,5500000 FRENCHSILVER,$0.154,No Domain
IPAYNL,IPAYNL,1282051.28 IPAYNL,$0.153,No Domain
Nvidia Corporation,NVDA,2146900000 NVDA,$0.152,silicon.stellar-commodities.com
BMW,BMW,200000072 BMW,$0.152,No Domain
Yamana Gold Inc.,AUY,2146999999 AUY,$0.151,gold.stellar-commodities.com
USGOLDSALES,USGOLDSALES,3909096.91 USGOLDSALES,$0.149,No Domain
GOLDBULLION,GOLDBULLION,2272737.60 GOLDBULLION,$0.149,No Domain
USSILVERMINE,USSILVERMINE,1727115.72 USSILVERMINE,$0.149,No Domain
GOLDDIVIDEND,GOLDDIVIDEND,916496.95 GOLDDIVIDEND,$0.149,No Domain
Centerra Gold Inc.,CGAU,2146999999 CGAU,$0.148,gold.stellar-commodities.com
RUGOLDSALES,RUGOLDSALES,1712023 RUGOLDSALES,$0.148,No Domain
AUSILVERMINE,AUSILVERMINE,925925.93 AUSILVERMINE,$0.148,No Domain
GOLDNOTE,GOLDNOTE,1555617.29 GOLDNOTE,$0.146,No Domain
SCEM,SCEM,2140999999 SCEM,$0.144,No Domain
RHDIVIDEND,RHDIVIDEND,1538461.54 RHDIVIDEND,$0.144,No Domain
IPAYFR,IPAYFR,1020408.16 IPAYFR,$0.142,No Domain
IPAYAU,IPAYAU,1136363.64 IPAYAU,$0.141,No Domain
QFSWALLETS,QFSWALLETS,17.22 QFSWALLETS,$0.141,xrpbc.stellarmint.io
PAAS,PAAS,2146999999 PAAS,$0.139,gold.stellar-commodities.com
Tianqi Lithium Corp.,TLC,2146999999 TLC,$0.137,lithium.stellar-commodities.com
Eldorado Gold Corp.,EGO,2146999999 EGO,$0.137,gold.stellar-commodities.com
Tiffany & Co.,TFC,2146999999 TFC,$0.136,diamond.stellar-commodities.com
Austin Gold Corp.,AUST,2146999999 AUST,$0.136,gold.stellar-commodities.com
ASM,ASM,2146999999 ASM,$0.136,gold.stellar-commodities.com
Petra Diamonds Ltd.,PDL,2146999999 PDL,$0.136,diamond.stellar-commodities.com
NextEra Energy Inc,NXT,2146999999 NXT,$0.136,gas.stellar-commodities.com
CONP,CONP,2146999999 CONP,$0.136,gas.stellar-commodities.com
NexGen Energy Ltd.,NXE,2146999999 NXE,$0.136,uranium.stellar-commodities.com
ARMZ Uranium Holding,ARMZ,2146999999 ARMZ,$0.136,uranium.stellar-commodities.com
Orano SA,ORA,2146999999 ORA,$0.136,uranium.stellar-commodities.com
Azarga Uranium Inc.,AZU,2146999999 AZU,$0.136,uranium.stellar-commodities.com
Yellow Cake PLC,YCA,2146999999 YCA,$0.136,uranium.stellar-commodities.com
BVN,BVN,2144444444 BVN,$0.136,gold.stellar-commodities.com
Orla Mining Ltd.,ORLA,2144444444 ORLA,$0.136,gold.stellar-commodities.com
BANQ,BANQ,2140999999 BANQ,$0.136,No Domain
PTT,PTT,2140999999 PTT,$0.136,No Domain
CPOK,CPOK,2140999999 CPOK,$0.136,No Domain
THAIR,THAIR,2140999999 THAIR,$0.136,No Domain
KBQ,KBQ,2140999999 KBQ,$0.136,No Domain
UEC,UEC,904444502.89 UEC,$0.135,No Domain
Luckin Coffee Inc.,LKNCY,1999999110 LKNCY,$0.134,coffee.stellar-commodities.com
TCP,TCP,2099999444 TCP,$0.133,coffee.stellar-commodities.com
PJSC Gazprom,GAZP,1999999999 GAZP,$0.133,gas.stellar-commodities.com
SILVERSPOT,SILVERSPOT,955933.31 SILVERSPOT,$0.131,No Domain
Uravan Minerals Inc.,URV,2146999999 URV,$0.130,uranium.stellar-commodities.com
GoviEx Uranium Inc.,GXU,2146999999 GXU,$0.130,uranium.stellar-commodities.com
GJC,GJC,2054752909 GJC,$0.130,coffee.stellar-commodities.com
TOYOTA,TOYOTA,578406062.20 TOYOTA,$0.129,No Domain
SBUX,SBUX,2019999999 SBUX,$0.128,coffee.stellar-commodities.com
EMAAR,EMAAR,5025125.63 EMAAR,$0.128,No Domain
KTHOUSE,KTHOUSE,13.86 KTHOUSE,$0.128,kthouse.co
De Beers Group,DBG,2146999999 DBG,$0.127,diamond.stellar-commodities.com
Tata Power Co. Ltd.,TATAPWR,2146999999 TATAPWR,$0.127,gas.stellar-commodities.com
CHYP,CHYP,2146999999 CHYP,$0.127,gas.stellar-commodities.com
ALEG,ALEG,2146999999 ALEG,$0.127,No Domain
HDI,HDI,2009999997 HDI,$0.127,forestry.stellar-commodities.com
BP plc,BP,1999999999 BP,$0.127,gas.stellar-commodities.com
Stora Enso Oyj,STRE,1999999999 STRE,$0.127,forestry.stellar-commodities.com
GWI,GWI,1999999999 GWI,$0.127,forestry.stellar-commodities.com
HMP,HMP,1999999998 HMP,$0.127,forestry.stellar-commodities.com
