name,code,asset_amount,currency_amount,domain,asset_issuer
USSILVERSALE,USSILVERSALE,2909090.91,$0.0886,No Domain,GDEUQ2MX3YXMITFOTC3CO3GW5V3XE3IVG7JKLZZAOZ7WFYIN256INDUS
IPAY,IPAY,1833337.33,$0.0884,No Domain,GDEUQ2MX3YXMITFOTC3CO3GW5V3XE3IVG7JKLZZAOZ7WFYIN256INDUS
MELD,MELD,111709.46,$0.0882,No Domain,GCPEXGL2NAMN47XAUSWN6KGVDRUCNHICZSJCL2UUHBUOBPOXWJUPABDC
CAGOLDMINE,CAGOLDMINE,3846154.34,$0.0878,No Domain,GDEUQ2MX3YXMITFOTC3CO3GW5V3XE3IVG7JKLZZAOZ7WFYIN256INDUS
CASILVER,CASILVER,2857142.86,$0.0870,No Domain,GDEUQ2MX3YXMITFOTC3CO3GW5V3XE3IVG7JKLZZAOZ7WFYIN256INDUS
NOVA,NOVA,565608723.91,$0.0857,No Domain,GBGJUBIKVROW6XSWPKHW3FXLEM5O4SBGWZ55SXRSW2WEHSWSMLEJGMMG
AUGOLDMINE,AUGOLDMINE,1724137.93,$0.0831,No Domain,GDEUQ2MX3YXMITFOTC3CO3GW5V3XE3IVG7JKLZZAOZ7WFYIN256INDUS
GOLDINVEST,GOLDINVEST,1724137.93,$0.0828,No Domain,GDEUQ2MX3YXMITFOTC3CO3GW5V3XE3IVG7JKLZZAOZ7WFYIN256INDUS
DGX,DGX,103532.92,$0.0817,No Domain,GCPEXGL2NAMN47XAUSWN6KGVDRUCNHICZSJCL2UUHBUOBPOXWJUPABDC
DUTCHSILVER,DUTCHSILVER,3571428.57,$0.0816,No Domain,GDEUQ2MX3YXMITFOTC3CO3GW5V3XE3IVG7JKLZZAOZ7WFYIN256INDUS
FRSILVERSALE,FRSILVERSALE,3571428.57,$0.0816,No Domain,GDEUQ2MX3YXMITFOTC3CO3GW5V3XE3IVG7JKLZZAOZ7WFYIN256INDUS
AWG,AWG,177426.85,$0.0810,No Domain,GCPEXGL2NAMN47XAUSWN6KGVDRUCNHICZSJCL2UUHBUOBPOXWJUPABDC
RHODIUMBUY,RHODIUMBUY,3448275.86,$0.0787,No Domain,GDEUQ2MX3YXMITFOTC3CO3GW5V3XE3IVG7JKLZZAOZ7WFYIN256INDUS
INDIAGOLD,INDIAGOLD,1470588.24,$0.0783,No Domain,GDEUQ2MX3YXMITFOTC3CO3GW5V3XE3IVG7JKLZZAOZ7WFYIN256INDUS
GEC,GEC,61451000,$0.0780,No Domain,GDJSCIRHDGDGEI5SABB4COMUCJXM7S7HJQPHMF2AL3KX4Q4RHWGAQWGQ
Lonmin PLC,LNM,275000100,$0.0775,platinum.stellar-commodities.com,GB3TORQPESHPJO4R62VV43ROKEFTFGLES4FF4JSJMFP7X7FU6HQ2SBSI
DEGOLDMINE,DEGOLDMINE,2325581.40,$0.0767,No Domain,GDEUQ2MX3YXMITFOTC3CO3GW5V3XE3IVG7JKLZZAOZ7WFYIN256INDUS
AGLD,AGLD,94620.75,$0.0756,No Domain,GCPEXGL2NAMN47XAUSWN6KGVDRUCNHICZSJCL2UUHBUOBPOXWJUPABDC
RHBULLION,RHBULLION,2083496.09,$0.0740,No Domain,GDEUQ2MX3YXMITFOTC3CO3GW5V3XE3IVG7JKLZZAOZ7WFYIN256INDUS
INDUSGOLD,INDUSGOLD,2080952,$0.0739,No Domain,GDEUQ2MX3YXMITFOTC3CO3GW5V3XE3IVG7JKLZZAOZ7WFYIN256INDUS
KGHM,KGHM,375000019,$0.0711,platinum.stellar-commodities.com,GB3TORQPESHPJO4R62VV43ROKEFTFGLES4FF4JSJMFP7X7FU6HQ2SBSI
SILVERNOTE,SILVERNOTE,1065199,$0.0703,No Domain,GDEUQ2MX3YXMITFOTC3CO3GW5V3XE3IVG7JKLZZAOZ7WFYIN256INDUS
FRGOLDMINE,FRGOLDMINE,1428571.43,$0.0689,No Domain,GDEUQ2MX3YXMITFOTC3CO3GW5V3XE3IVG7JKLZZAOZ7WFYIN256INDUS
SLVRBULLION,SLVRBULLION,833333.67,$0.0684,No Domain,GDEUQ2MX3YXMITFOTC3CO3GW5V3XE3IVG7JKLZZAOZ7WFYIN256INDUS
PGM,PGM,350000099,$0.0683,platinum.stellar-commodities.com,GB3TORQPESHPJO4R62VV43ROKEFTFGLES4FF4JSJMFP7X7FU6HQ2SBSI
JPGOLDMINE,JPGOLDMINE,1669449.08,$0.0678,No Domain,GDEUQ2MX3YXMITFOTC3CO3GW5V3XE3IVG7JKLZZAOZ7WFYIN256INDUS
JPSILVERMINE,JPSILVERMINE,1666666.67,$0.0677,No Domain,GDEUQ2MX3YXMITFOTC3CO3GW5V3XE3IVG7JKLZZAOZ7WFYIN256INDUS
Toyoda Gosei,TOYO,1000000004,$0.0668,rubber.stellar-commodities.com,GCYIPD2C7DMFZ45UNJRFBXDQ57A55LXP7SFGHOJHOT7DPYM3PG2OJB33
SLV,SLV,205052493.64,$0.0668,No Domain,GBWKSMDG7LIDERBDLJMV2CSGUXOYKSS422QRMZBO5FCJKWGG2REF2XYR
GAZ,GAZ,10000000,$0.0660,No Domain,GCNMJWCYTEJFYNK43DIW6ODLHDEFODPXTPV3QIOYVUWSJIGH5YDT7KKS
SILVERPAY,SILVERPAY,2000000,$0.0660,No Domain,GDEUQ2MX3YXMITFOTC3CO3GW5V3XE3IVG7JKLZZAOZ7WFYIN256INDUS
GOLDNOTEUSA,GOLDNOTEUSA,5005005,$0.0643,No Domain,GDEUQ2MX3YXMITFOTC3CO3GW5V3XE3IVG7JKLZZAOZ7WFYIN256INDUS
IPAYRU,IPAYRU,2500000,$0.0634,No Domain,GDEUQ2MX3YXMITFOTC3CO3GW5V3XE3IVG7JKLZZAOZ7WFYIN256INDUS
CAGOLD,CAGOLD,2083333.33,$0.0634,No Domain,GDEUQ2MX3YXMITFOTC3CO3GW5V3XE3IVG7JKLZZAOZ7WFYIN256INDUS
IPAYSA,IPAYSA,16581631.59,$0.0631,No Domain,GDEUQ2MX3YXMITFOTC3CO3GW5V3XE3IVG7JKLZZAOZ7WFYIN256INDUS
JAPANSILVER,JAPANSILVER,2083333.33,$0.0631,No Domain,GDEUQ2MX3YXMITFOTC3CO3GW5V3XE3IVG7JKLZZAOZ7WFYIN256INDUS
PETRO,PETRO,990000000,$0.0628,gas.stellar-commodities.com,GDNCIRZGTYTPGDSTXR2H5U6XZZISD53ECE7MJFTKJACOXW4GOGFSH47W
IPAYSWEDE,IPAYSWEDE,8130081.30,$0.0619,No Domain,GDEUQ2MX3YXMITFOTC3CO3GW5V3XE3IVG7JKLZZAOZ7WFYIN256INDUS
INGOLDMINE,INGOLDMINE,2127660.31,$0.0615,No Domain,GDEUQ2MX3YXMITFOTC3CO3GW5V3XE3IVG7JKLZZAOZ7WFYIN256INDUS
DESILVERMINE,DESILVERMINE,1730103.81,$0.0615,No Domain,GDEUQ2MX3YXMITFOTC3CO3GW5V3XE3IVG7JKLZZAOZ7WFYIN256INDUS
Hankook Tire & Tech.,HNK,1000000004,$0.0591,rubber.stellar-commodities.com,GCYIPD2C7DMFZ45UNJRFBXDQ57A55LXP7SFGHOJHOT7DPYM3PG2OJB33
VLN,VLN,464597761,$0.0589,No Domain,GBGJUBIKVROW6XSWPKHW3FXLEM5O4SBGWZ55SXRSW2WEHSWSMLEJGMMG
INSILVERMINE,INSILVERMINE,1785714.29,$0.0589,No Domain,GDEUQ2MX3YXMITFOTC3CO3GW5V3XE3IVG7JKLZZAOZ7WFYIN256INDUS
TSLA,TSLA,29782499.54,$0.0580,No Domain,GC4YMNVVOMF2IOPKGCZSBMWAT2JTVJ4PLSCV7SOVDSNLMC73HMUDDRQY
